hazard,metric,path,rcp,epoch,gcm,key
drought,occurrence,/mnt/c/Users/kris_/Downloads/isimp_drought/occurrence/lange2020_orchidee_miroc5_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2080_occurrence.tif,6x0,2080,miroc5,lange2020_orchidee_miroc5_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2080_occurrence
drought,occurrence,/mnt/c/Users/kris_/Downloads/isimp_drought/occurrence/lange2020_orchidee_miroc5_ewembi_historical_nosoc_co2_led_global_annual_1861_2005_baseline_occurrence.tif,baseline,baseline,miroc5,lange2020_orchidee_miroc5_ewembi_historical_nosoc_co2_led_global_annual_1861_2005_baseline_occurrence
drought,occurrence,/mnt/c/Users/kris_/Downloads/isimp_drought/occurrence/lange2020_pcr-globwb_gfdl-esm2m_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence.tif,2x6,2030,gfdl-esm2m,lange2020_pcr-globwb_gfdl-esm2m_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence
drought,occurrence,/mnt/c/Users/kris_/Downloads/isimp_drought/occurrence/lange2020_pcr-globwb_gfdl-esm2m_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2050_occurrence.tif,2x6,2050,gfdl-esm2m,lange2020_pcr-globwb_gfdl-esm2m_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2050_occurrence
drought,occurrence,/mnt/c/Users/kris_/Downloads/isimp_drought/occurrence/lange2020_pcr-globwb_gfdl-esm2m_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2080_occurrence.tif,2x6,2080,gfdl-esm2m,lange2020_pcr-globwb_gfdl-esm2m_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2080_occurrence
drought,occurrence,/mnt/c/Users/kris_/Downloads/isimp_drought/occurrence/lange2020_pcr-globwb_gfdl-esm2m_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2030_occurrence.tif,6x0,2030,gfdl-esm2m,lange2020_pcr-globwb_gfdl-esm2m_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2030_occurrence
drought,occurrence,/mnt/c/Users/kris_/Downloads/isimp_drought/occurrence/lange2020_pcr-globwb_gfdl-esm2m_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2050_occurrence.tif,6x0,2050,gfdl-esm2m,lange2020_pcr-globwb_gfdl-esm2m_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2050_occurrence
drought,occurrence,/mnt/c/Users/kris_/Downloads/isimp_drought/occurrence/lange2020_pcr-globwb_gfdl-esm2m_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2080_occurrence.tif,6x0,2080,gfdl-esm2m,lange2020_pcr-globwb_gfdl-esm2m_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2080_occurrence
drought,occurrence,/mnt/c/Users/kris_/Downloads/isimp_drought/occurrence/lange2020_pcr-globwb_gfdl-esm2m_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_occurrence.tif,baseline,baseline,gfdl-esm2m,lange2020_pcr-globwb_gfdl-esm2m_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_occurrence
drought,occurrence,/mnt/c/Users/kris_/Downloads/isimp_drought/occurrence/lange2020_pcr-globwb_hadgem2-es_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence.tif,2x6,2030,hadgem2-es,lange2020_pcr-globwb_hadgem2-es_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence
drought,occurrence,/mnt/c/Users/kris_/Downloads/isimp_drought/occurrence/lange2020_pcr-globwb_hadgem2-es_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2050_occurrence.tif,2x6,2050,hadgem2-es,lange2020_pcr-globwb_hadgem2-es_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2050_occurrence
drought,occurrence,/mnt/c/Users/kris_/Downloads/isimp_drought/occurrence/lange2020_pcr-globwb_hadgem2-es_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2080_occurrence.tif,2x6,2080,hadgem2-es,lange2020_pcr-globwb_hadgem2-es_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2080_occurrence
drought,occurrence,/mnt/c/Users/kris_/Downloads/isimp_drought/occurrence/lange2020_pcr-globwb_hadgem2-es_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2030_occurrence.tif,6x0,2030,hadgem2-es,lange2020_pcr-globwb_hadgem2-es_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2030_occurrence
drought,occurrence,/mnt/c/Users/kris_/Downloads/isimp_drought/occurrence/lange2020_pcr-globwb_hadgem2-es_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2050_occurrence.tif,6x0,2050,hadgem2-es,lange2020_pcr-globwb_hadgem2-es_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2050_occurrence
drought,occurrence,/mnt/c/Users/kris_/Downloads/isimp_drought/occurrence/lange2020_pcr-globwb_hadgem2-es_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2080_occurrence.tif,6x0,2080,hadgem2-es,lange2020_pcr-globwb_hadgem2-es_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2080_occurrence
drought,occurrence,/mnt/c/Users/kris_/Downloads/isimp_drought/occurrence/lange2020_pcr-globwb_hadgem2-es_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_occurrence.tif,baseline,baseline,hadgem2-es,lange2020_pcr-globwb_hadgem2-es_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_occurrence
drought,occurrence,/mnt/c/Users/kris_/Downloads/isimp_drought/occurrence/lange2020_pcr-globwb_ipsl-cm5a-lr_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence.tif,2x6,2030,ipsl-cm5a-lr,lange2020_pcr-globwb_ipsl-cm5a-lr_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence
drought,occurrence,/mnt/c/Users/kris_/Downloads/isimp_drought/occurrence/lange2020_pcr-globwb_ipsl-cm5a-lr_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2050_occurrence.tif,2x6,2050,ipsl-cm5a-lr,lange2020_pcr-globwb_ipsl-cm5a-lr_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2050_occurrence
drought,occurrence,/mnt/c/Users/kris_/Downloads/isimp_drought/occurrence/lange2020_pcr-globwb_ipsl-cm5a-lr_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2080_occurrence.tif,2x6,2080,ipsl-cm5a-lr,lange2020_pcr-globwb_ipsl-cm5a-lr_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2080_occurrence
drought,occurrence,/mnt/c/Users/kris_/Downloads/isimp_drought/occurrence/lange2020_pcr-globwb_ipsl-cm5a-lr_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2030_occurrence.tif,6x0,2030,ipsl-cm5a-lr,lange2020_pcr-globwb_ipsl-cm5a-lr_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2030_occurrence
drought,occurrence,/mnt/c/Users/kris_/Downloads/isimp_drought/occurrence/lange2020_pcr-globwb_ipsl-cm5a-lr_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2050_occurrence.tif,6x0,2050,ipsl-cm5a-lr,lange2020_pcr-globwb_ipsl-cm5a-lr_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2050_occurrence
